Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1829]=1521.4891
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1830]=1554.027
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1831]=1587.1128
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1832]=1620.7633
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1833]=1654.9962
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1834]=1689.8292
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1835]=1725.2812
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1836]=1761.3711
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1837]=1798.1187
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1838]=1835.5443
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1839]=1873.669
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1840]=1912.5143
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1841]=1952.1025
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1842]=1992.4567
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1843]=2033.6004
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1844]=2075.5581
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1845]=2118.355
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1846]=2162.0171
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1847]=2206.571
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1848]=2252.0444
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1849]=2298.4658
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1850]=2345.8644
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1851]=2401.282
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1852]=2456.6996
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1853]=2512.1172
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1854]=2567.5348
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1855]=2622.9524
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1856]=2678.3701
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1857]=2733.7877
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1858]=2789.2053
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1859]=2844.6229
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1860]=2900.0405
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1861]=2992.6781
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1862]=3085.3157
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1863]=3177.9532
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1864]=3270.5908
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1865]=3363.2284
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1866]=3455.866
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1867]=3548.5035
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1868]=3641.1411
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1869]=3733.7787
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1870]=3826.4163
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1871]=3993.1681
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1872]=4159.9199
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1873]=4326.6717
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1874]=4493.4235
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1875]=4660.1753
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1876]=4826.9271
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1877]=4993.6789
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1878]=5160.4307
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1879]=5327.1825
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1880]=5493.9343
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1881]=5762.3214
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1882]=6030.7085
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1883]=6299.0955
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1884]=6567.4826
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1885]=6835.8696
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1886]=7104.2567
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1887]=7372.6438
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1888]=7641.0308
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1889]=7909.4179
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1890]=8177.8049
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1891]=8567.3728
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1892]=8956.9407
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1893]=9346.5086
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1894]=9736.0765
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1895]=10125.644
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1896]=10515.212
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1897]=10904.78
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1898]=11294.348
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1899]=11683.916
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1900]=12073.484
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1901]=12629.88
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1902]=13186.275
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1903]=13742.671
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1904]=14299.067
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1905]=14855.463
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1906]=15411.858
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1907]=15968.254
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1908]=16524.65
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1909]=17081.045
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1910]=17637.441
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1911]=17821.423
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1912]=18005.405
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1913]=18189.388
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1914]=18373.37
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1915]=18557.352
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1916]=18741.334
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1917]=18925.316
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1918]=19109.298
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1919]=19293.28
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1920]=19477.262
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1921]=19863.884
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1922]=20250.505
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1923]=20637.127
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1924]=21023.748
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1925]=21410.37
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1926]=21796.991
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1927]=22183.613
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1928]=22570.234
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1929]=22956.856
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1930]=23343.477
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1931]=23754.956
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1932]=24166.434
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1933]=24577.913
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1934]=24989.392
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1935]=25400.87
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1936]=25812.349
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1937]=26223.828
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1938]=26635.306
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1939]=27046.785
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1940]=27458.263
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1941]=27840.442
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1942]=28222.62
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1943]=28604.799
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1944]=28986.977
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1945]=29369.156
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1946]=29751.334
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1947]=30133.513
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1948]=30515.691
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1949]=30897.869
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1950]=31280.048
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1951]=32866.948
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1952]=34453.849
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1953]=36040.749
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1954]=37627.65
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1955]=39214.55
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1956]=40801.451
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1957]=42388.351
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1958]=43975.252
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1959]=45562.152
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1960]=47149.053
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting SO2_emissions[1961]=48770.76
