Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1832]=16.391724
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1833]=16.679571
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1834]=16.97
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1835]=17.26309
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1836]=17.558925
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1837]=17.857588
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1838]=18.159168
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1839]=18.463755
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1840]=18.771441
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1841]=19.082323
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1842]=19.396499
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1843]=19.714071
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1844]=20.035144
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1845]=20.359827
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1846]=20.688231
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1847]=21.020471
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1848]=21.356666
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1849]=21.696939
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1850]=22.041414
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1851]=22.105064
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1852]=22.168714
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1853]=22.232363
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1854]=22.296013
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1855]=22.359663
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1856]=22.423312
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1857]=22.486962
