Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1829]=4.0005873
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1830]=4.0685801
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1831]=4.1369156
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1832]=4.2056046
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1833]=4.2746578
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1834]=4.3440866
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1835]=4.4139026
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1836]=4.4841177
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1837]=4.5547443
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1838]=4.6257951
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1839]=4.6972833
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1840]=4.7692224
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1841]=4.8416262
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1842]=4.9145093
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1843]=4.9878863
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1844]=5.0617727
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1845]=5.1361841
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1846]=5.2111367
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1847]=5.2866474
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1848]=5.3627334
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1849]=5.4394124
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1850]=5.5167028
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1851]=5.5423239
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1852]=5.5679451
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1853]=5.5935662
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1854]=5.6191873
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1855]=5.6448084
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1856]=5.6704295
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1857]=5.6960507
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1858]=5.7216718
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1859]=5.7472929
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1860]=5.772914
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1861]=5.8128366
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1862]=5.8527592
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1863]=5.8926817
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1864]=5.9326043
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1865]=5.9725268
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting NOX_emissions[1866]=6.0124494
