Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1831]=2.1739855
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1832]=2.2164284
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1833]=2.2594475
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1834]=2.3030607
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1835]=2.3472862
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1836]=2.3921432
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1837]=2.437651
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1838]=2.4838298
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1839]=2.5307004
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1840]=2.5782841
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1841]=2.6266031
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1842]=2.67568
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1843]=2.7255383
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1844]=2.7762021
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1845]=2.8276964
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1846]=2.8800469
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1847]=2.9332801
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1848]=2.9874231
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1849]=3.0425043
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1850]=3.0985525
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1851]=3.1187417
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1852]=3.1389309
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1853]=3.15912
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1854]=3.1793092
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1855]=3.1994983
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1856]=3.2196875
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1857]=3.2398767
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1858]=3.2600658
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1859]=3.280255
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1860]=3.3004441
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1861]=3.3244138
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1862]=3.3483835
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1863]=3.3723532
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1864]=3.3963229
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1865]=3.4202926
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1866]=3.4442623
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1867]=3.4682319
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1868]=3.4922016
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1869]=3.5161713
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1870]=3.540141
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1871]=3.562453
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1872]=3.5847651
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1873]=3.6070771
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1874]=3.6293891
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1875]=3.6517012
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1876]=3.6740132
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1877]=3.6963253
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1878]=3.7186373
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1879]=3.7409493
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1880]=3.7632614
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1881]=3.7925706
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1882]=3.8218798
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1883]=3.851189
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1884]=3.8804982
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1885]=3.9098074
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1886]=3.9391166
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1887]=3.9684258
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1888]=3.997735
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1889]=4.0270443
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1890]=4.0563535
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1891]=4.0882845
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1892]=4.1202154
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1893]=4.1521464
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1894]=4.1840774
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1895]=4.2160084
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1896]=4.2479394
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1897]=4.2798704
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1898]=4.3118014
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1899]=4.3437324
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1900]=4.3756633
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1901]=4.4173849
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1902]=4.4591064
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1903]=4.500828
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1904]=4.5425495
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1905]=4.5842711
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1906]=4.6259926
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1907]=4.6677142
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1908]=4.7094357
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1909]=4.7511573
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1910]=4.7928788
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1911]=4.7949516
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1912]=4.7970244
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1913]=4.7990972
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1914]=4.80117
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1915]=4.8032428
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1916]=4.8053156
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1917]=4.8073885
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1918]=4.8094613
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1919]=4.8115341
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1920]=4.8136069
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1921]=4.7987143
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1922]=4.7838218
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1923]=4.7689293
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1924]=4.7540367
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1925]=4.7391442
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1926]=4.7242517
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1927]=4.7093591
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1928]=4.6944666
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1929]=4.6795741
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1930]=4.6646815
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1931]=4.6670964
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1932]=4.6695113
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1933]=4.6719262
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1934]=4.674341
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1935]=4.6767559
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1936]=4.6791708
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1937]=4.6815857
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1938]=4.6840005
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1939]=4.6864154
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1940]=4.6888303
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1941]=4.693243
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1942]=4.6976558
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1943]=4.7020686
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1944]=4.7064813
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1945]=4.7108941
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1946]=4.7153069
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1947]=4.7197196
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1948]=4.7241324
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1949]=4.7285452
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1950]=4.7329579
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1951]=4.7733276
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1952]=4.8136973
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1953]=4.854067
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1954]=4.8944367
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1955]=4.9348064
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1956]=4.9751761
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1957]=5.0155458
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1958]=5.0559155
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1959]=5.0962852
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1960]=5.1366549
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1961]=5.1795997
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1962]=5.2225445
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1963]=5.2654893
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1964]=5.3084341
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1965]=5.3513789
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1966]=5.3943237
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1967]=5.4372685
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1968]=5.4802133
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1969]=5.5231581
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1970]=5.5661029
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1971]=5.7038725
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1972]=5.8416421
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1973]=5.9794117
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1974]=6.1171813
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1975]=6.2549509
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1976]=6.3927205
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1977]=6.5304901
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1978]=6.6682597
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1979]=6.8060293
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[1980]=6.9437989
